date,production_panels,attendance_panel_line_total,cache_rows,cache_expected_rows,cache_complete,attendance_puente_1,attendance_share_puente_1
2026-01-05,19,12,9,9,True,3,0.25
2026-01-06,33,12,9,9,True,3,0.25
2026-01-07,27,13,9,9,True,3,0.23076923076923078
2026-01-08,28,13,9,9,True,3,0.23076923076923078
2026-01-09,22,13,9,9,True,3,0.23076923076923078
2026-01-12,28,13,9,9,True,3,0.23076923076923078
2026-01-13,26,12,9,9,True,3,0.25
2026-01-14,26,13,9,9,True,3,0.23076923076923078
2026-01-15,30,13,9,9,True,3,0.23076923076923078
2026-01-16,25,13,9,9,True,3,0.23076923076923078
2026-01-19,26,13,9,9,True,2,0.15384615384615385
2026-01-20,27,12,9,9,True,2,0.16666666666666666
2026-01-21,27,13,9,9,True,2,0.15384615384615385
2026-01-22,23,13,9,9,True,2,0.15384615384615385
2026-01-23,24,13,9,9,True,2,0.15384615384615385
2026-01-26,37,15,9,9,True,3,0.2
2026-01-27,28,15,9,9,True,3,0.2
2026-01-28,35,15,9,9,True,3,0.2
2026-01-29,32,15,9,9,True,3,0.2
2026-01-30,13,14,9,9,True,2,0.14285714285714285
2026-02-02,29,12,9,9,True,3,0.25
2026-02-03,31,12,9,9,True,2,0.16666666666666666
2026-02-04,30,12,9,9,True,2,0.16666666666666666
2026-02-05,28,12,9,9,True,2,0.16666666666666666
2026-02-06,18,12,9,9,True,2,0.16666666666666666
2026-02-07,23,12,9,9,True,2,0.16666666666666666
2026-02-09,29,13,9,9,True,3,0.23076923076923078
2026-02-10,34,12,9,9,True,3,0.25
2026-02-11,30,12,9,9,True,3,0.25
2026-02-12,34,12,9,9,True,2,0.16666666666666666
2026-02-13,26,12,9,9,True,2,0.16666666666666666
2026-02-16,30,12,9,9,True,3,0.25
2026-02-17,32,11,9,9,True,2,0.18181818181818182
